"episode","character","startmin","stopmin"
18,"Tony",20.05,20.66666667
18,"Tony",21.26666667,23.28333333
18,"Sarah",23.51666667,24.51666667
18,"Tony",24.25,26.05
18,"Cosima",26.05,27.83333333
18,"Alison",27.83333333,29.18333333
18,"Tony",29.18333333,31.81666667
18,"Sarah",29.86666667,31.81666667
18,"Rachel",31.81666667,33.3
18,"Alison",33.3,34.06666667
18,"Sarah",34.06666667,34.66666667
18,"Tony",34.66666667,35.25
18,"Rachel",35.25,36.93333333
18,"Tony",36.93333333,38
18,"Cosima",38,40.13333333
18,"Sarah",40.13333333,41.15
19,"Alison",0,1.35
19,"Helena",1.35,2.416666667
19,"Rachel",2.416666667,3.916666667
19,"Sarah",3.916666667,5.966666667
19,"Cosima",4.833333333,5.966666667
19,"Alison",4.833333333,7.4
19,"Helena",7.4,8.466666667
19,"Sarah",9.65,12.48333333
19,"Cosima",12.83333333,13.65
19,"Alison",13.65,15.46666667
19,"Helena",15.78333333,17.11666667
19,"Sarah",17.11666667,19.33333333
19,"Alison",19.33333333,19.95
19,"Alison",20.28333333,21.23333333
19,"Helena",22.91666667,23.96666667
19,"Cosima",23.96666667,25.08333333
19,"Helena",25.08333333,26.05
19,"Rachel",26.05,30.16666667
19,"Sarah",30.16666667,30.6
19,"Helena",30.6,32.38333333
19,"Helena",33.5,33.93333333
19,"Alison",33.93333333,35.28333333
19,"Helena",35.28333333,36.66666667
19,"Sarah",36.66666667,37.66666667
19,"Rachel",37.66666667,38.55
19,"Sarah",38.55,39.15
19,"Cosima",39.15,39.6
19,"Rachel",39.6,40.6
20,"Sarah",0,2.05
20,"Sarah",2.05,3.316666667
20,"Cosima",4.083333333,4.383333333
20,"Rachel",4.383333333,5.166666667
20,"Cosima",5.166666667,6.3
20,"Sarah",6.3,8.35
20,"Rachel",7.416666667,8.35
20,"Helena",9.766666667,10.23333333
20,"Sarah",10.38333333,10.83333333
20,"Helena",10.83333333,11.68333333
20,"Rachel",15.03333333,17.43333333
20,"Cosima",19.2,21.33333333
20,"Sarah",21.33333333,33.11666667
20,"Rachel",22.6,24.66666667
20,"Cosima",27.23333333,33.11666667
20,"Helena",27.33333333,31.38333333
20,"Alison",27.75,31.31666667
20,"Helena",31.96666667,32.33333333
20,"Helena",33.11666667,33.73333333
20,"Sarah",33.73333333,34.33333333
20,"Cosima",34.33333333,35.45
20,"Sarah",35.45,37.08333333
20,"Cosima",37.08333333,38
20,"Sarah",38,39.4
20,"Helena",39.4,39.85
20,"Sarah",39.85,40.5
20,"Helena",41.16666667,41.38333333
20,"Sarah",41.38333333,41.66666667
21,"Helena",0,3.166666667
21,"Sarah",0.1,1.483333333
21,"Alison",0.533333333,1.483333333
21,"Cosima",1,1.483333333
21,"Rachel",3.166666667,3.633333333
21,"Sarah",3.633333333,9.566666667
21,"Krystal",5.283333333,5.816666667
21,"Alison",8.133333333,8.416666667
21,"Cosima",8.316666667,8.666666667
21,"Alison",9.566666667,11.45
21,"Rachel",13.33333333,14.05
21,"Sarah",14.18333333,15.26666667
21,"Cosima",15.56666667,17.95
21,"Alison",18.45,19.6
21,"Sarah",19.6,21.18333333
21,"Cosima",21.18333333,22.41666667
21,"Sarah",22.41666667,22.88333333
21,"Sarah",22.88333333,28.96666667
21,"Alison",25.45,27.56666667
21,"Sarah",29.36666667,29.96666667
21,"Alison",29.45,29.96666667
21,"Cosima",29.61666667,29.96666667
